,Number,OwnerName,Location,LocationAddress,LocationCity,LocationState,LocationZip,County,Status,NextInspectionDue,NextInspectionDueOther,MachineType,Manufacturer,UnitType,InsertedAt,LastSeen
0,-2,CAROLINA POINT,CAROLINA POINT,4000 GLADY FORK RD,BREVARD,NC,28712,UNKNOWN,Destroyed,2025-05-25 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 10:05:02.5295854 +00:00,2018-10-05 10:05:02.5295702 +00:00
1,-1,CAROLINA POINT,CAROLINA POINT,4000 GLADY FORK RD,BREVARD,NC,28712,UNKNOWN,Destroyed,2025-05-16 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 10:05:01.7181381 +00:00,2018-10-05 10:05:01.7181199 +00:00
2,100001,MOHAWK INDUSTRIES,ROCKY RIVER PLANT,HIGHWAY 81,CALHOUN FALLS,SC,29628,ABBEVILLE,Active,2019-01-23 00:00:00.0000000,,TRACTION W/STEEL ROPES,PARK MANUFACTURING,Freight,2018-10-05 07:20:43.3319245 +00:00,2018-10-05 07:20:43.3319115 +00:00
3,100002,WESTPOINT STEVENS INC,CALHOUN PLANT,COX AVENUE,CALHOUN FALLS,SC,29628,ABBEVILLE,Destroyed,2009-10-13 00:00:00.0000000,,Hydraulic,PARK MANUFACTURING,Freight,2018-10-05 07:20:44.5979933 +00:00,2018-10-05 07:20:44.5979713 +00:00
4,100003,WESTPOINT STEVENS INC,CALHOUN PLANT,COX AVENUE,CALHOUN FALLS,SC,29628,ABBEVILLE,Destroyed,2009-10-13 00:00:00.0000000,,TRACTION W/STEEL ROPES,PARK MANUFACTURING,Freight,2018-10-05 07:20:45.5033226 +00:00,2018-10-05 07:20:45.5032958 +00:00
5,100004,WESTPOINT STEVENS INC,CALHOUN PLANT,COX AVENUE,CALHOUN FALLS,SC,29628,ABBEVILLE,Destroyed,2012-02-03 00:00:00.0000000,,TRACTION W/STEEL ROPES,PARK MANUFACTURING,Freight,2018-10-05 07:20:53.7487484 +00:00,2018-10-05 07:20:53.7487209 +00:00
6,100005,SAGE AUTOMOTIVE INTERIORS,ABBEVILLE PLANT,BROOKS STREET,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-08-22 00:00:00.0000000,,TRACTION W/STEEL ROPES,PARK MANUFACTURING,Freight,2018-10-05 07:20:57.3612961 +00:00,2018-10-05 07:20:57.3612805 +00:00
7,100006,SAGE AUTOMOTIVE INTERIORS,ABBEVILLE CLOTH ROOM,BROOKS STREET,ABBEVILLE,SC,29620,ABBEVILLE,Destroyed,2011-07-04 00:00:00.0000000,,TRACTION W/STEEL ROPES,PARK MANUFACTURING,Freight,2018-10-05 07:20:59.0666824 +00:00,2018-10-05 07:20:59.0666648 +00:00
8,100007,SAGE AUTOMOTIVE INTERIORS,ABBEVILLE PLANT-EAST WEAVE,BROOK STREET,ABBEVILLE,SC,29620,ABBEVILLE,Destroyed,2011-07-04 00:00:00.0000000,,TRACTION W/STEEL ROPES,GENERAL,Freight,2018-10-05 07:21:04.1991598 +00:00,2018-10-05 07:21:04.1991400 +00:00
9,100008,SAGE AUTOMOTIVE INTERIORS,ABBEVILLE PLANT,BROOK STREET,ABBEVILLE,SC,29620,ABBEVILLE,Active,2018-08-23 00:00:00.0000000,,TRACTION W/STEEL ROPES,PARK MANUFACTURING,Freight,2018-10-05 07:21:10.0467731 +00:00,2018-10-05 07:21:10.0467539 +00:00
10,100009,SAGE AUTOMOTIVE INTERIORS,ABBEVILLE PLANT,BROOKS STREET,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-08-22 00:00:00.0000000,,Hydraulic,PARK MANUFACTURING,Freight,2018-10-05 07:21:16.4323628 +00:00,2018-10-05 07:21:16.4323463 +00:00
11,100010,TBI OF ABBEVILLE LLC,BELMONT INN,104 E. PICKENS STR,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-08-21 00:00:00.0000000,,Hydraulic,GENERAL,Passenger,2018-10-05 07:21:18.1778546 +00:00,2018-10-05 07:21:18.1778266 +00:00
12,100011,ABBEVILLE COUNTY,ABBEVILLE CNTY ADMIN. COMPLEX,HIGHWAY 72,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-08-21 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Passenger,2018-10-05 07:21:19.7241331 +00:00,2018-10-05 07:21:19.7241126 +00:00
13,100012,ABBEVILLE MEMORIAL HOSP.,ABBEVILLE MEMORIAL HOSP.,HIGHWAY 72 WEST,ABBEVILLE,SC,29620,ABBEVILLE,Destroyed,2008-01-09 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:21:20.6705480 +00:00,2018-10-05 07:21:20.6705257 +00:00
14,100013,DAVE MINOTTI,102 TRINITY,104-106 TRINITY STREET,ABBEVILLE,SC,29620,ABBEVILLE,Destroyed,2011-03-18 00:00:00.0000000,,TRACTION W/STEEL ROPES,WESTINGHOUSE,Passenger,2018-10-05 07:21:22.0362993 +00:00,2018-10-05 07:21:22.0362843 +00:00
